scenario,run,source_file,revision_git,throughput,latency_p50_ms,latency_p95_ms,latency_p99_ms,confirmed_writes,uncertain_writes,rejected_writes,omitted_operations,measurement_window_seconds,restored
partición de leader,7,leader-partition-5-007.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.449988277231442,275.631947,1269.538965,2756.686569,87,33,0,0,60.000485084,true
partición de leader,8,leader-partition-5-008.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.6166581406002432,416.146356,2586.620333,3586.306595,97,23,0,0,60.000316433,true
partición de leader,9,leader-partition-5-009.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.7333162684591186,311.61878,1839.331927,2339.594041,104,16,0,0,60.000590713,true
partición de leader,10,leader-partition-5-010.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.6166428741023837,394.741068,2131.794696,2916.659173,97,23,0,0,60.000883036,true
partición de leader,11,leader-partition-5-011.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.8999917514708098,290.150779,1788.343718,2332.024637,114,5,0,1,60.000260481,true
partición de leader,12,leader-partition-5-012.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.249987399835346,379.306428,3232.0022,4731.19132,75,45,0,0,60.000604814,true
partición de leader,13,leader-partition-5-013.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.649982299622383,620.678906,2304.662505,3490.352305,99,21,0,0,60.000643657,true
partición de leader,14,leader-partition-5-014.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.2862754226748176,481.704781,1867.193791,2366.897701,78,42,0,0,60.640200866,true
partición de leader,15,leader-partition-5-015.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.8366907880020733,428.832603,2192.272006,4190.340373,111,9,0,0,60.434777985,true
partición de leader,16,leader-partition-5-016.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.6166556227262783,375.600875,2015.555733,3872.420218,97,23,0,0,60.000409881,true
partición de leader,17,leader-partition-5-017.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.8833275380833883,389.143137,2109.093787,3006.982715,113,7,0,0,60.000184628,true
partición de leader,18,leader-partition-5-018.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.8166529314988475,416.580118,1496.213209,2466.457237,109,10,0,1,60.000453642,true
partición de leader,19,leader-partition-5-019.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.8821105031463226,345.365,1251.530488,2028.710059,113,7,0,0,60.038982733,true
partición de leader,20,leader-partition-5-020.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.8501285156901806,598.159031,3555.437527,5554.804649,112,8,0,0,60.536335206,true
partición de leader,21,leader-partition-5-021.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.813697103452241,488.13682,2576.427201,3155.495434,109,10,0,1,60.098237899,true
partición de leader,22,leader-partition-5-022.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.8166490036911787,479.042414,2598.806459,3099.697126,109,11,0,0,60.00058337,true
partición de leader,23,leader-partition-5-023.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.6513217521184784,250.717838,1662.398447,2330.573997,101,18,0,1,61.163125763,true
partición de leader,24,leader-partition-5-024.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.5332996274209436,444.712696,2277.549196,3691.975486,92,28,0,0,60.001318956,true
partición de leader,25,leader-partition-5-025.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.4820595629735445,407.655199,1834.164833,3158.568371,90,30,0,0,60.726304292,true
partición de leader,26,leader-partition-5-026.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.7178737914292959,300.423491,1738.655457,2907.145028,104,15,0,1,60.539953819,true
partición de leader,27,leader-partition-5-027.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.8704399761505766,679.466233,2878.392039,3585.342016,113,7,0,0,60.413593294,true
partición de leader,28,leader-partition-5-028.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.8333120668522476,372.737015,1761.913544,2255.406715,110,10,0,0,60.000696002,true
partición de leader,29,leader-partition-5-029.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.8499914112298743,634.428662,2394.323951,3054.284584,111,9,0,0,60.000278556,true
partición de leader,30,leader-partition-5-030.json,8ba7a131c4f452aac014a4c628794062fa1a8c9b,1.8956818542339533,635.554574,2543.908547,3226.194536,114,6,0,0,60.136673116,true
